|6.6.6
bulk_TMMFequ_1.tab                                                                                  
           2
T(K)    
   300.00000000000000     
   36.842105263157897     
          20
P(bar)  
   1.0000000000000000     
   157.84210526315789     
          20
           6
T(K)           P(bar)         rho,kg/m3      vp,km/s        vs,km/s        vp/vs         
  852.6316       2526.474       2995.587       6.790580       3.762206       1.804946    
  889.4737       2526.474       2992.755       6.775445       3.752800       1.805437    
  926.3158       2526.474       2989.870       6.760217       3.743319       1.805942    
  963.1579       2526.474       2986.958       6.744904       3.733794       1.806448    
  1000.000       2526.474       2984.017       6.729496       3.724213       1.806958    
  300.0000       2684.316       3278.408       7.431914       4.210874       1.764934    
  336.8421       2684.316       3273.462       7.410936       4.194736       1.766723    
  373.6842       2684.316       3265.845       7.385433       4.177236       1.768019    
  410.5263       2684.316       3254.461       7.355771       4.156835       1.769561    
  447.3684       2684.316       3239.661       7.321612       4.134213       1.770981    
  484.2105       2684.316       3218.282       7.278272       4.106071       1.772563    
  521.0526       2684.316       3069.770       7.038465       3.925601       1.792965    
  557.8947       2684.316       3046.909       6.978146       3.881653       1.797725    
  594.7368       2684.316       3028.067       6.926562       3.844892       1.801497    
  631.5789       2684.316       3024.514       6.907281       3.834561       1.801323    
  668.4211       2684.316       3020.829       6.887633       3.824222       1.801054    
  705.2632       2684.316       3017.037       6.867677       3.813968       1.800665    
  742.1053       2684.316       3003.836       6.830524       3.790033       1.802233    
  778.9474       2684.316       3001.984       6.823729       3.782048       1.804242    
  815.7895       2684.316       2999.271       6.808395       3.773779       1.804132    
  852.6316       2684.316       2996.449       6.793339       3.764400       1.804627    
  889.4737       2684.316       2993.587       6.778199       3.754964       1.805130    
  926.3158       2684.316       2989.793       6.752122       3.745936       1.802520    
  963.1579       2684.316       2986.873       6.736843       3.736401       1.803030    
  1000.000       2684.316       2983.864       6.721440       3.726744       1.803569    
  300.0000       2842.158       3279.174       7.433844       4.212643       1.764651    
  336.8421       2842.158       3274.527       7.413257       4.196835       1.766392    
  373.6842       2842.158       3267.420       7.389495       4.179593       1.767994    
  410.5263       2842.158       3257.051       7.361414       4.160348       1.769423    
  447.3684       2842.158       3242.807       7.328166       4.138328       1.770803    
  484.2105       2842.158       3223.584       7.288168       4.112485       1.772205    
  521.0526       2842.158       3077.414       7.055994       3.939396       1.791136    
  557.8947       2842.158       3056.449       6.999741       3.898718       1.795395    
  594.7368       2842.158       3028.817       6.930027       3.846973       1.801423    
  631.5789       2842.158       3025.168       6.910206       3.836641       1.801108    
  668.4211       2842.158       3021.502       6.890628       3.826334       1.800843    
  705.2632       2842.158       3017.728       6.870742       3.816111       1.800456    
  742.1053       2842.158       3004.664       6.833236       3.792194       1.801921    
  778.9474       2842.158       3001.931       6.816508       3.784551       1.801140    
  815.7895       2842.158       2999.216       6.800198       3.776415       1.800702    
  852.6316       2842.158       2996.373       6.785163       3.767003       1.801210    
  889.4737       2842.158       2993.517       6.770072       3.757584       1.801709    
  926.3158       2842.158       2990.632       6.754893       3.748113       1.802212    
  963.1579       2842.158       2987.638       6.739590       3.738505       1.802750    
  1000.000       2842.158       2984.511       6.724143       3.728729       1.803334    
  300.0000       3000.000       3279.953       7.436626       4.214358       1.764593    
  336.8421       3000.000       3275.457       7.416286       4.198802       1.766286    
  373.6842       3000.000       3268.865       7.393352       4.182025       1.767888    
  410.5263       3000.000       3259.000       7.366121       4.163324       1.769288    
  447.3684       3000.000       3245.514       7.334158       4.142195       1.770597    
  484.2105       3000.000       3227.412       7.295923       4.117548       1.771910    
  521.0526       3000.000       3200.934       7.245911       4.085313       1.773649    
  557.8947       3000.000       3065.627       7.020380       3.915100       1.793155    
  594.7368       3000.000       3039.044       6.952668       3.865466       1.798662    
  631.5789       3000.000       3025.824       6.913131       3.838714       1.800898    
  668.4211       3000.000       3022.174       6.893620       3.828444       1.800632    
  705.2632       3000.000       3018.412       6.873777       3.818245       1.800245    
  742.1053       3000.000       3014.378       6.852623       3.808005       1.799531    
  778.9474       3000.000       3002.852       6.819253       3.786809       1.800791    
  815.7895       3000.000       3000.070       6.802945       3.778588       1.800394    
  852.6316       3000.000       2997.229       6.787924       3.769188       1.800898    
  889.4737       3000.000       2994.347       6.772831       3.759746       1.801406    
  926.3158       3000.000       2991.456       6.757655       3.750271       1.801911    
  963.1579       3000.000       2988.365       6.742309       3.740555       1.802489    
  1000.000       3000.000       2985.357       6.726976       3.730977       1.803006    
